1461096846.45 410958113 934980 ms 127693 ms 576332 ms 27956 -39 [-40, -45] dBm 455658700 774945 ms 40015 ms 736035 ms 6275 -48 [-51, -50] dBm
1461096854.46 413395639 936877 ms 128175 ms 577364 ms 28082 -39 [-40, -45] dBm 458064140 775653 ms 40220 ms 736519 ms 6307 -48 [-52, -51] dBm
1461096862.55 415745855 938796 ms 128625 ms 578436 ms 28177 -35 [-36, -42] dBm 460352868 776269 ms 40422 ms 736911 ms 6347 -49 [-52, -52] dBm
1461096870.39 418025379 940277 ms 129062 ms 579119 ms 28299 -39 [-40, -46] dBm 462572652 776950 ms 40610 ms 737391 ms 6371 -49 [-53, -51] dBm
1461096878.53 420373219 942036 ms 129516 ms 580020 ms 28405 -39 [-40, -45] dBm 464862227 777557 ms 40815 ms 737770 ms 6414 -49 [-53, -50] dBm
1461096886.19 422476803 943724 ms 129927 ms 580913 ms 28489 -38 [-39, -44] dBm 467161693 778152 ms 41006 ms 738152 ms 6444 -49 [-53, -51] dBm
1461096894.76 425057291 945662 ms 130426 ms 581884 ms 28592 -35 [-37, -41] dBm 469669911 778795 ms 41229 ms 738550 ms 6493 -49 [-54, -51] dBm
1461096902.57 427361423 947294 ms 130867 ms 582687 ms 28691 -35 [-37, -41] dBm 471909551 779383 ms 41419 ms 738927 ms 6526 -49 [-53, -51] dBm
1461096910.38 429302141 949365 ms 131276 ms 583931 ms 28812 -35 [-36, -42] dBm 474156861 780234 ms 41616 ms 739577 ms 6560 -48 [-52, -51] dBm
1461096917.94 431712367 951063 ms 131730 ms 584807 ms 28940 -35 [-37, -42] dBm 476295343 780781 ms 41802 ms 739913 ms 6598 -48 [-52, -51] dBm
1461096925.64 433961211 952963 ms 132168 ms 585896 ms 29041 -39 [-40, -45] dBm 478518109 781395 ms 41990 ms 740320 ms 6635 -49 [-53, -52] dBm
1461096933.22 436332775 954641 ms 132626 ms 586699 ms 29148 -36 [-38, -42] dBm 480597194 781987 ms 42170 ms 740714 ms 6665 -49 [-53, -51] dBm
1461096941.31 438746843 956351 ms 133080 ms 587575 ms 29233 -39 [-40, -44] dBm 482837767 782545 ms 42370 ms 741048 ms 6700 -48 [-53, -49] dBm
1461096948.78 441038843 958192 ms 133519 ms 588607 ms 29332 -35 [-37, -41] dBm 485022183 783073 ms 42557 ms 741364 ms 6743 -47 [-53, -48] dBm
1461096956.54 443364387 960527 ms 133986 ms 590070 ms 29510 -39 [-40, -44] dBm 487152909 783679 ms 42743 ms 741763 ms 6775 -47 [-52, -49] dBm
1461096964.39 445543263 963214 ms 134428 ms 591861 ms 29636 -39 [-40, -45] dBm 489409676 784323 ms 42938 ms 742192 ms 6818 -48 [-52, -50] dBm
1461096972.08 447912081 964930 ms 134958 ms 592728 ms 29892 -38 [-40, -45] dBm 491731314 784863 ms 43140 ms 742506 ms 6849 -47 [-51, -49] dBm
1461096979.73 450312791 967153 ms 135417 ms 594122 ms 30030 -38 [-40, -44] dBm 494116770 785451 ms 43345 ms 742861 ms 6882 -47 [-51, -49] dBm
1461096987.28 452804069 969107 ms 135885 ms 595222 ms 30136 -39 [-41, -44] dBm 496591112 786034 ms 43562 ms 743202 ms 6920 -47 [-50, -49] dBm
1461096994.89 455381189 970772 ms 136362 ms 596046 ms 30287 -39 [-40, -45] dBm 498995250 786740 ms 43768 ms 743690 ms 6960 -48 [-52, -50] dBm
1461097002.43 457829453 972358 ms 136834 ms 596797 ms 30421 -39 [-40, -45] dBm 501461922 787402 ms 43981 ms 744117 ms 6999 -48 [-52, -51] dBm
1461097009.95 460273115 974087 ms 137301 ms 597705 ms 30582 -35 [-37, -40] dBm 503973391 787993 ms 44199 ms 744470 ms 7040 -49 [-53, -51] dBm
1461097017.5 462687695 976128 ms 137753 ms 598894 ms 30716 -35 [-36, -40] dBm 506435589 788616 ms 44410 ms 744860 ms 7084 -49 [-53, -51] dBm
1461097025.04 465075259 977918 ms 138203 ms 599814 ms 30882 -35 [-37, -40] dBm 508750481 789282 ms 44609 ms 745308 ms 7119 -48 [-53, -50] dBm
1461097032.5 467030003 979632 ms 138626 ms 600737 ms 31019 -38 [-39, -44] dBm 511264846 790034 ms 44827 ms 745824 ms 7167 -48 [-51, -50] dBm
1461097040.12 469501751 981703 ms 139138 ms 601504 ms 31200 -36 [-38, -41] dBm 513697770 790677 ms 45033 ms 746237 ms 7209 -49 [-51, -52] dBm
1461097047.67 472125203 983687 ms 139665 ms 602371 ms 31406 -38 [-40, -43] dBm 516098480 791277 ms 45236 ms 746610 ms 7240 -48 [-52, -50] dBm
1461097055.12 474500431 985713 ms 140145 ms 603444 ms 31576 -39 [-40, -44] dBm 518469615 791856 ms 45439 ms 746959 ms 7274 -48 [-52, -50] dBm
